ymd,hm,ta,weekday,weekend,max_power,spring,summer,autoum,winter,CDD,HDD,multiple_season
2022-05-02,42.65008818342152,14.287336860670194,1,0,67357.0,1,0,0,0,0.0,5.082385361552028,-8943.792252790601
2022-05-03,37.95828924162257,16.413201058201057,1,0,68221.0,1,0,0,0,0.0,5.151997354497354,-6553.121937638699
2022-05-04,41.36446208112875,19.748915343915343,1,0,66896.0,1,0,0,0,0.0,2.265211640211639,-6683.950780842377
2022-05-05,58.6326278659612,18.654470899470898,0,1,62398.0,1,0,0,0,0.0,0.9608509700176384,-9149.826825365575
2022-05-06,60.06754850088184,21.0718430335097,1,0,65275.0,1,0,0,0,0.37220458553792213,0.0,-6896.6812657970895
2022-05-07,46.54118165784833,16.40541446208113,0,1,58240.0,1,0,0,0,0.0,0.2254761904761864,-16005.322148832083
2022-05-08,62.32045855379189,15.024876543209878,0,1,57573.0,1,0,0,0,0.0,2.198611111111113,-15034.756208490713
2022-05-09,45.01940035273369,19.05442680776014,1,0,68295.0,1,0,0,0,0.0,1.2584920634920636,-5623.701640377116
2022-05-10,39.96181657848325,19.619276895943564,1,0,68449.0,1,0,0,0,0.0,0.8385361552028208,-4883.852903400559
2022-05-11,46.5494708994709,22.03331569664903,1,0,69284.0,1,0,0,0,0.5442989417989423,0.0,-6094.0681070329365
2022-05-12,55.08086419753087,21.104656084656085,1,0,69519.0,1,0,0,0,1.7263315696649073,0.0,-5848.492453750869
2022-05-13,54.58844797178131,20.50917989417989,1,0,70217.0,1,0,0,0,0.0,0.34485008818342067,-5386.75963574249
2022-05-14,40.23818342151676,14.835881834215169,0,1,59523.0,1,0,0,0,0.0,2.9764726631393295,-14408.246978841456
2022-05-15,38.52151675485009,15.175828924162255,0,1,58322.0,1,0,0,0,0.0,3.187482363315695,-16197.362404310898
2022-05-16,42.99021164021164,18.82927689594356,1,0,68158.0,1,0,0,0,0.0,2.7224559082892448,-5483.635474183531
2022-05-17,48.95987654320988,21.24257495590829,1,0,69600.0,1,0,0,0,0.0,0.10247354497354877,-4252.095885763664
2022-05-18,35.611552028218696,23.892980599647267,1,0,69002.0,1,0,0,0,1.744188712522046,0.0,-4513.951866231375
2022-05-19,40.85255731922398,20.44610229276896,1,0,68981.0,1,0,0,0,1.148179012345679,0.0,-5340.3302186792425
2022-05-20,54.69400352733686,21.73992945326279,1,0,68021.0,1,0,0,0,1.5097222222222229,0.0,-5309.713918509618
2022-05-21,68.03950617283951,19.532407407407405,0,1,60962.0,1,0,0,0,1.661560846560846,0.0,-12374.16139110981
2022-05-22,68.2636684303351,20.775670194003524,0,1,60232.0,1,0,0,0,2.1783906525573187,0.0,-13352.648756123945
2022-05-23,44.85670194003527,27.20606541606541,1,0,72122.0,1,0,0,0,3.6827677569344246,0.0,-3362.9367727669182
2022-05-24,37.49532627865961,27.56588423921757,1,0,72576.0,1,0,0,0,3.8367309850643174,0.0,-1796.9573936678034
